rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,forecast_rain_3h,forecast_rain_6h,soil_moisture,soil_saturation,water_level,water_level_rise_rate,incoming_flow,elevation,slope,flow_accumulation,storage_remaining,historical_flood_frequency,target_flood_1h,target_flood_3h,target_flood_6h,prob_groundtruth_1h,prob_groundtruth_3h,prob_groundtruth_6h
1.2,1.82,3.61,22.34,2.69,5.69,41.48,47.94,5.78,-0.294,12306.4,82.2,2.28,173937.0,75.0,1.67,0,0,0,0.0,0.009,0.004
50.79,168.99,306.67,554.69,92.38,193.51,84.61,99.5,10.24,0.704,32121.8,91.4,3.01,171191.0,0.92,1.65,1,1,1,1.0,1.0,1.0
0.29,0.64,1.75,3.81,1.92,5.12,36.5,40.67,5.51,-0.383,13685.3,74.3,2.96,197407.0,75.0,2.38,0,0,0,0.0,0.002,0.002
34.65,95.33,194.22,347.3,38.06,110.39,84.18,99.5,8.13,0.614,19947.5,155.2,5.01,106595.0,0.92,0.93,1,1,1,0.999,1.0,1.0
0.1,0.42,4.67,12.67,2.84,4.78,34.53,36.34,5.89,-0.336,12588.8,86.7,1.06,171753.0,75.0,1.64,0,0,0,0.0,0.005,0.0
6.66,29.48,46.97,86.42,15.54,60.4,53.69,64.1,6.41,0.062,12771.3,75.7,3.31,160561.0,66.06,1.37,0,0,0,0.005,0.437,0.464
30.42,85.49,181.67,312.58,59.45,126.2,85.99,99.5,8.9,0.419,19752.7,113.7,0.5,136328.0,0.92,1.1,1,1,1,0.999,1.0,1.0
17.64,39.18,66.23,115.29,28.59,64.12,56.8,68.9,6.65,0.165,16302.9,55.4,0.5,214135.0,57.22,2.29,0,1,1,0.051,0.901,0.896
13.08,33.96,65.79,103.75,16.38,48.12,57.0,71.68,6.73,-0.056,13556.3,151.3,7.31,116760.0,52.1,0.36,0,0,0,0.035,0.424,0.415
5.24,20.67,58.35,96.56,11.29,51.37,54.6,63.18,7.4,-0.047,16405.3,45.8,2.02,216511.0,67.75,2.86,0,1,1,0.012,0.672,0.789
13.02,24.03,63.22,126.12,16.68,42.97,53.96,68.79,6.06,0.011,12331.6,178.1,6.05,73970.0,57.42,0.33,0,0,0,0.009,0.241,0.312
0.2,4.71,7.56,17.33,4.3,4.36,38.37,38.82,5.33,-0.348,9867.7,147.0,1.45,107981.0,75.0,0.79,0,0,0,0.0,0.003,0.0
5.87,16.62,32.52,95.43,22.68,44.0,54.34,64.98,7.43,-0.025,15446.2,63.8,1.42,204082.0,64.44,1.76,0,1,1,0.036,0.864,0.58
0.19,0.59,12.84,27.03,1.76,3.12,30.36,35.94,7.27,-0.322,17203.8,35.8,1.08,250997.0,75.0,2.51,0,0,0,0.0,0.115,0.006
10.63,20.15,65.09,132.85,22.43,55.06,58.41,69.63,6.06,0.07,9843.6,153.2,0.96,86197.0,55.87,0.33,0,0,0,0.015,0.234,0.348
0.84,1.59,2.61,12.18,0.15,0.42,35.41,41.24,5.98,-0.303,9282.0,137.5,2.98,106379.0,75.0,1.56,0,0,0,0.0,0.002,0.0
12.29,35.93,78.36,108.9,12.15,44.64,59.74,69.28,7.46,0.06,13961.0,140.7,6.58,110974.0,56.53,1.26,0,1,1,0.139,0.608,0.57
16.03,40.26,81.07,144.95,14.01,31.19,66.4,80.58,6.46,0.131,11137.5,146.8,8.91,94197.0,35.73,1.07,0,1,0,0.164,0.542,0.458
0.06,2.43,2.57,18.7,2.49,2.78,29.27,41.95,6.55,-0.385,13164.2,45.7,1.26,232736.0,75.0,1.8,0,0,0,0.0,0.01,0.002
16.79,33.66,75.79,150.87,13.94,40.36,60.55,74.47,6.99,0.118,15432.7,87.0,4.23,164929.0,46.97,1.69,0,1,1,0.088,0.764,0.883
6.75,27.92,58.05,134.49,14.16,49.82,60.77,72.92,6.8,-0.18,16872.5,51.8,0.5,221233.0,49.82,2.49,0,1,1,0.016,0.576,0.967
84.57,194.49,310.68,533.06,68.99,151.43,85.28,99.5,9.37,1.025,27173.2,160.1,7.51,86317.0,0.92,0.76,1,1,1,1.0,1.0,1.0
28.37,74.02,171.34,281.24,55.65,96.55,85.03,99.5,8.13,0.499,19590.0,125.4,2.57,132770.0,0.92,0.78,1,1,1,0.998,1.0,1.0
20.37,56.54,119.7,229.62,51.27,145.5,83.55,96.08,7.96,0.371,20653.7,83.0,3.36,173528.0,7.21,1.49,1,1,1,0.986,1.0,1.0
9.61,18.55,39.4,114.29,23.99,62.69,50.5,64.25,6.69,-0.101,14433.0,44.2,1.35,221855.0,65.78,2.1,0,1,1,0.007,0.619,0.892
6.61,16.91,35.28,108.13,14.2,48.49,47.8,58.86,6.34,-0.29,12495.7,80.1,4.71,185329.0,75.0,1.55,0,0,0,0.0,0.074,0.448
0.87,2.84,3.71,15.81,0.09,17.7,32.44,39.47,5.93,-0.293,10717.5,82.2,1.58,184449.0,75.0,2.16,0,0,0,0.0,0.003,0.001
5.35,14.2,38.94,110.52,15.14,44.3,57.63,63.32,6.55,-0.165,9947.9,140.8,6.52,110985.0,67.49,0.28,0,0,0,0.003,0.114,0.168
20.45,58.6,145.08,240.63,54.3,137.5,89.04,96.75,8.46,0.224,18697.7,127.4,3.82,152645.0,5.98,1.25,1,1,1,0.993,1.0,1.0
16.05,26.33,54.99,132.35,25.44,43.95,54.08,67.59,6.45,0.116,11799.2,163.6,5.26,68764.0,59.64,0.15,0,1,0,0.02,0.551,0.311
11.53,35.21,63.41,135.29,19.92,38.12,66.69,75.24,6.67,-0.049,13559.0,103.5,3.28,154872.0,45.55,1.1,0,1,1,0.079,0.61,0.691
0.19,0.31,1.18,28.07,2.1,6.8,36.7,42.92,6.6,-0.337,11964.9,52.3,1.04,193586.0,75.0,1.52,0,0,0,0.0,0.01,0.004
1.17,2.39,3.37,34.55,1.45,3.74,35.24,39.82,5.27,-0.198,7279.6,138.4,4.81,119477.0,75.0,0.73,0,0,0,0.0,0.001,0.0
6.66,7.87,15.57,39.36,0.53,0.88,37.24,47.71,5.26,-0.273,7597.3,145.3,4.92,88895.0,75.0,1.25,0,0,0,0.0,0.003,0.001
17.68,32.92,47.99,102.94,22.39,60.67,62.67,69.74,6.8,-0.011,13195.3,116.4,4.58,136163.0,55.67,1.29,0,1,1,0.066,0.588,0.546
17.26,40.82,84.02,115.63,24.24,46.01,52.63,68.46,6.08,0.1,13863.9,146.8,5.36,98271.0,58.04,0.41,0,0,0,0.017,0.394,0.403
7.44,29.04,56.56,132.39,10.85,49.91,58.7,72.93,6.9,0.025,15150.9,106.6,5.26,156293.0,49.81,1.65,0,1,1,0.053,0.544,0.839
6.78,17.78,47.1,96.88,19.72,62.92,53.46,63.68,6.13,-0.217,11339.5,110.8,5.72,138753.0,66.82,1.66,0,0,1,0.001,0.135,0.583
36.43,83.05,143.42,257.03,45.81,118.88,83.09,99.5,7.79,0.514,18732.7,97.0,1.56,154678.0,0.92,1.52,1,1,1,0.999,1.0,1.0
26.65,92.35,148.26,273.09,51.82,103.2,84.64,99.5,9.27,0.507,25523.3,38.7,1.96,255115.0,0.92,2.93,1,1,1,1.0,1.0,1.0
40.65,100.27,189.01,308.83,61.84,140.0,82.86,99.5,9.57,0.664,25686.5,50.6,0.69,223495.0,0.92,2.39,1,1,1,1.0,1.0,1.0
9.96,22.02,39.15,77.42,29.85,57.06,50.63,60.61,7.66,-0.099,15931.1,39.6,1.8,224116.0,72.47,2.51,0,1,1,0.01,0.832,0.718
16.68,27.58,55.34,133.37,11.82,44.64,58.1,68.89,6.5,0.097,13068.9,127.3,5.87,123502.0,57.24,0.81,0,0,1,0.03,0.479,0.593
81.77,208.75,394.89,654.72,92.61,190.24,84.02,99.5,10.28,1.007,34000.0,80.6,0.5,207982.0,0.92,1.91,1,1,1,1.0,1.0,1.0
1.57,11.16,14.15,17.77,1.7,5.81,36.74,42.79,5.48,-0.23,9893.6,108.7,3.99,145981.0,75.0,1.38,0,0,0,0.0,0.006,0.0
0.28,3.46,7.0,18.37,0.73,1.32,40.12,44.56,5.51,-0.316,6585.1,166.6,4.43,69744.0,75.0,0.65,0,0,0,0.0,0.003,0.0
13.1,31.07,56.21,101.01,16.94,46.64,45.93,56.25,6.03,0.02,15112.8,71.1,1.52,184348.0,75.0,1.65,0,0,0,0.001,0.32,0.327
17.67,38.65,79.21,134.49,20.52,41.65,64.39,71.79,6.79,0.033,14375.8,94.5,5.61,158356.0,51.91,1.56,0,1,1,0.032,0.67,0.724
1.53,2.9,8.33,14.64,0.23,0.89,38.74,45.44,5.7,-0.227,8456.3,144.6,3.36,97617.0,75.0,0.56,0,0,0,0.0,0.003,0.0
40.29,85.63,151.5,305.84,53.02,99.3,87.73,99.5,8.12,0.469,20553.3,68.2,1.4,178994.0,0.92,1.25,1,1,1,1.0,1.0,1.0
6.87,19.5,52.32,119.96,15.49,56.61,54.62,65.26,6.92,-0.214,16089.0,46.2,1.68,207742.0,63.91,2.51,0,0,1,0.001,0.371,0.91
6.42,17.95,62.06,98.8,27.76,63.88,50.63,62.11,7.41,-0.053,15986.8,77.0,3.65,175143.0,69.71,1.32,0,1,1,0.011,0.863,0.787
5.95,22.17,52.74,129.35,18.42,46.83,61.03,71.56,7.31,0.209,16962.2,58.4,1.89,218821.0,52.33,2.07,0,1,1,0.092,0.894,0.898
6.46,25.33,46.66,80.53,29.94,53.03,56.8,59.28,6.28,-0.099,8258.8,169.8,9.5,70514.0,74.93,0.55,0,0,0,0.001,0.184,0.058
0.18,3.19,10.08,10.88,0.22,0.55,31.21,40.73,6.13,-0.359,8299.7,152.2,6.78,94280.0,75.0,0.8,0,0,0,0.0,0.004,0.0
0.06,2.75,6.3,19.35,1.41,7.36,28.21,31.2,5.84,-0.323,10428.5,126.8,0.5,146839.0,75.0,0.97,0,0,0,0.0,0.001,0.001
0.95,7.22,9.88,28.65,1.05,3.05,35.55,41.3,5.31,-0.365,7905.9,161.4,4.11,105791.0,75.0,0.65,0,0,0,0.0,0.001,0.0
41.22,80.53,164.43,302.53,56.26,128.8,85.59,99.5,8.48,0.417,17035.3,151.5,3.77,93929.0,0.92,0.85,1,1,1,0.999,1.0,1.0
10.82,23.26,65.54,114.03,25.98,41.93,46.24,57.94,6.02,-0.017,16595.1,62.1,2.71,196074.0,75.0,2.21,0,0,1,0.003,0.408,0.651
8.02,21.89,57.04,103.01,10.83,31.04,49.99,57.47,5.16,0.0,8285.0,164.4,0.5,69728.0,75.0,1.04,0,0,0,0.0,0.012,0.044
8.37,19.36,40.47,108.92,18.24,45.4,48.22,55.86,6.55,-0.124,11561.4,113.2,9.16,154546.0,75.0,1.32,0,0,0,0.001,0.164,0.338
17.57,33.16,75.99,120.94,18.01,44.9,58.16,72.79,7.42,0.124,10806.3,152.1,6.78,94435.0,50.07,0.72,0,1,1,0.186,0.816,0.567
0.95,3.14,4.28,23.22,1.37,1.4,31.49,36.66,5.24,-0.417,5383.8,164.9,6.21,76283.0,75.0,0.24,0,0,0,0.0,0.001,0.0
1.07,5.07,6.23,6.69,3.29,16.39,26.94,32.41,5.78,-0.415,10785.0,81.1,4.56,170462.0,75.0,1.84,0,0,0,0.0,0.002,0.001
21.91,94.44,165.99,321.31,52.71,141.67,83.69,99.5,8.82,0.383,24738.2,51.0,3.93,207306.0,0.92,2.34,1,1,1,0.998,1.0,1.0
15.22,23.69,40.66,96.94,12.59,41.42,47.09,55.54,7.1,-0.065,15864.5,68.1,3.45,203140.0,75.0,1.84,0,1,1,0.007,0.523,0.549
17.41,30.42,60.09,109.3,22.6,43.41,60.06,67.46,7.42,0.056,14971.3,96.9,5.05,143952.0,59.88,1.65,0,1,1,0.091,0.798,0.622
8.38,30.98,70.32,139.78,25.42,54.2,71.68,82.99,7.09,-0.159,11998.5,153.6,5.74,110588.0,31.31,0.59,0,1,1,0.146,0.805,0.841
38.22,88.71,144.75,256.22,35.55,97.05,81.97,99.5,7.38,0.541,13739.6,159.8,5.19,80225.0,0.92,0.79,1,1,1,0.998,0.996,1.0
8.87,27.05,52.9,118.18,20.24,62.83,51.19,58.76,7.47,-0.211,16667.0,36.0,0.95,234546.0,75.0,2.63,0,1,1,0.007,0.581,0.919
0.11,3.02,7.49,43.59,0.93,2.2,36.62,43.22,6.03,-0.284,10863.4,109.1,2.2,129075.0,75.0,1.58,0,0,0,0.0,0.006,0.001
24.31,69.92,150.03,297.05,39.95,88.63,83.03,99.5,8.49,0.474,19988.6,95.5,2.16,165185.0,0.92,1.54,1,1,1,0.999,1.0,1.0
0.38,0.65,11.1,35.83,0.74,1.73,35.54,45.46,6.62,-0.256,12768.6,67.2,0.72,194428.0,75.0,1.6,0,0,0,0.0,0.037,0.001
2.83,2.83,6.51,36.23,1.42,1.43,41.73,46.73,5.96,-0.357,13263.5,52.4,1.76,216392.0,75.0,1.94,0,0,0,0.0,0.009,0.004
0.3,6.69,6.76,12.78,3.12,9.49,29.32,36.17,6.19,-0.446,13671.5,84.0,0.5,201331.0,75.0,1.85,0,0,0,0.0,0.007,0.001
31.94,76.24,162.22,263.32,38.93,123.35,86.85,99.5,8.05,0.46,18115.5,171.7,6.6,76599.0,0.92,1.15,1,1,1,0.998,1.0,1.0
23.86,59.08,129.28,248.56,54.68,137.64,77.14,93.92,7.33,0.406,17470.5,81.9,2.81,169843.0,11.19,1.6,1,1,1,0.939,0.999,1.0
36.59,96.65,186.59,288.32,43.38,117.29,89.56,99.5,7.65,0.591,18608.5,110.2,4.15,137061.0,0.92,1.43,1,1,1,0.999,0.999,1.0
47.62,135.34,281.92,496.6,84.32,221.77,91.16,99.5,9.23,0.651,27925.4,136.9,3.51,124602.0,0.92,0.75,1,1,1,1.0,1.0,1.0
0.77,6.63,8.55,17.49,0.01,1.31,35.83,40.56,6.5,-0.415,12363.4,87.7,7.93,194209.0,75.0,1.33,0,0,0,0.0,0.012,0.001
16.27,29.94,52.53,109.71,11.57,42.52,55.3,61.24,6.12,0.084,10614.3,175.9,9.5,73139.0,71.31,0.16,0,0,0,0.005,0.118,0.081
8.95,23.46,62.2,125.3,18.92,51.25,57.43,68.9,6.36,-0.022,10480.1,174.6,2.2,80865.0,57.22,0.1,0,0,0,0.004,0.18,0.409
75.67,190.42,317.1,499.23,77.41,172.42,83.19,99.5,10.47,0.871,33725.5,71.5,2.8,203336.0,0.92,2.26,1,1,1,1.0,1.0,1.0
0.01,0.49,7.1,16.57,0.84,4.12,34.97,37.63,6.13,-0.409,11361.4,107.1,2.58,172765.0,75.0,0.67,0,0,0,0.0,0.005,0.001
74.59,165.86,317.81,466.8,89.85,198.37,84.95,99.5,10.01,0.77,30092.8,78.6,1.32,156403.0,0.92,1.67,1,1,1,1.0,1.0,1.0
0.68,2.06,6.06,16.25,1.1,1.16,29.88,39.19,6.06,-0.262,12178.7,76.3,0.83,198446.0,75.0,1.43,0,0,0,0.0,0.008,0.001
35.52,105.71,201.88,360.41,34.87,87.11,84.77,99.5,9.35,0.491,27415.8,40.3,1.73,246338.0,0.92,2.03,1,1,1,1.0,1.0,1.0
12.01,24.02,40.06,90.17,15.75,38.67,43.91,55.25,6.67,-0.158,11557.1,123.4,2.81,111855.0,75.0,1.52,0,0,0,0.001,0.12,0.083
43.83,88.37,146.13,236.16,58.22,137.54,84.11,99.5,7.9,0.633,18697.7,107.9,5.66,137249.0,0.92,1.39,1,1,1,0.999,1.0,1.0
0.17,0.79,6.29,10.14,7.98,10.71,28.56,30.52,6.43,-0.364,12215.7,42.5,2.25,216281.0,75.0,1.98,0,0,0,0.0,0.01,0.001
0.26,5.15,6.69,10.78,0.79,5.91,38.28,40.74,6.07,-0.45,13766.4,75.4,4.5,178584.0,75.0,1.62,0,0,0,0.0,0.01,0.003
0.23,1.43,1.56,22.58,0.83,1.83,34.13,39.34,5.13,-0.229,6869.1,166.7,3.28,72736.0,75.0,0.26,0,0,0,0.0,0.0,0.0
12.54,32.52,71.91,119.3,26.25,55.19,59.44,66.0,7.77,0.17,18638.6,69.7,3.04,199955.0,62.57,1.86,0,1,1,0.132,0.933,0.927
6.31,28.7,60.13,120.25,28.75,60.52,57.77,69.32,8.11,-0.034,16133.6,56.0,2.6,225773.0,56.46,2.12,0,1,1,0.123,0.956,0.97
45.22,167.46,303.09,513.34,70.24,174.0,88.83,99.5,9.06,0.617,30285.6,106.0,2.8,169055.0,0.92,1.93,1,1,1,1.0,1.0,1.0
13.93,29.23,63.04,134.22,16.82,48.87,63.21,76.49,6.7,0.285,9843.6,177.9,3.76,53929.0,43.26,0.1,0,1,0,0.215,0.69,0.418
1.8,4.94,8.05,13.85,1.05,3.03,27.22,34.4,6.24,-0.45,12862.5,70.1,4.48,183212.0,75.0,1.86,0,0,0,0.0,0.003,0.001
0.51,3.52,4.05,45.15,3.02,4.26,35.25,42.83,5.22,-0.363,7568.5,132.5,5.18,140786.0,75.0,0.88,0,0,0,0.0,0.002,0.002
0.05,3.16,8.46,48.23,0.59,0.89,40.77,50.16,5.55,-0.218,6695.7,145.4,6.76,115179.0,75.0,1.08,0,0,0,0.0,0.001,0.001
42.88,88.22,181.52,266.37,56.62,103.61,85.87,99.5,8.3,0.666,23240.0,69.5,1.4,197894.0,0.92,1.99,1,1,1,1.0,1.0,1.0
37.39,93.68,201.01,283.97,40.22,84.04,87.71,99.5,8.31,0.523,22246.9,140.6,1.84,118390.0,0.92,1.04,1,1,1,0.999,1.0,1.0
80.17,185.8,343.95,502.35,84.45,196.35,84.61,99.5,10.36,0.882,32648.7,88.3,2.19,173559.0,0.92,1.71,1,1,1,1.0,1.0,1.0
